symbol,sector,computed_time
DELHIVERY,Unknown,2026-02-19 07:56:16.837940
DELPHIFX,Unknown,2026-02-19 07:56:16.837977
DELTACORP,Unknown,2026-02-19 07:56:16.838014
DELTAMAGNT,Unknown,2026-02-19 07:56:16.838050
DEN,Unknown,2026-02-19 07:56:16.838087
DENORA,Unknown,2026-02-19 07:56:16.838125
DENTA,Unknown,2026-02-19 07:56:16.838163
DEVIT,IT,2026-02-19 07:56:16.838215
DEVX,Unknown,2026-02-19 07:56:16.838260
DEVYANI,Unknown,2026-02-19 07:56:16.838300
DGCONTENT,Unknown,2026-02-19 07:56:16.838338
DHAMPURSUG,Unknown,2026-02-19 07:56:16.838376
DHANBANK,Finance,2026-02-19 07:56:16.838412
DHANUKA,IT,2026-02-19 07:56:16.838449
DHARMAJ,Unknown,2026-02-19 07:56:16.838486
DHRUV,Unknown,2026-02-19 07:56:16.838523
DHUNINV,Unknown,2026-02-19 07:56:16.838562
DIACABS,Energy,2026-02-19 07:56:16.838599
DIAMINESQ,Unknown,2026-02-19 07:56:16.838635
DIAMONDYD,Unknown,2026-02-19 07:56:16.838672
DICIND,Unknown,2026-02-19 07:56:16.838726
DIFFNKG,Unknown,2026-02-19 07:56:16.838767
DIGIDRIVE,Unknown,2026-02-19 07:56:16.838806
DIGISPICE,IT,2026-02-19 07:56:16.838844
DIGITIDE,Unknown,2026-02-19 07:56:16.838881
DIGJAMLMTD,Unknown,2026-02-19 07:56:16.838919
